status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,3.0,2.0,,Gurabo,Puerto Rico,778.0,1035.0,,120000
for_sale,4.0,2.0,0.15,Toa Baja,Puerto Rico,951.0,1600.0,,120000
for_sale,,,2.29,Catano,Puerto Rico,962.0,,,1500000
for_sale,3.0,1.0,0.05,Catano,Puerto Rico,962.0,872.0,,73000
for_sale,,,5.0,Aguadilla,Puerto Rico,603.0,,,1000000
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,969.0,1382.0,,161000
for_sale,3.0,1.0,,Caguas,Puerto Rico,727.0,892.0,,78000
for_sale,,,0.54,Ponce,Puerto Rico,728.0,,,90000
for_sale,,,1.89,Aguadilla,Puerto Rico,603.0,,,695000
for_sale,6.0,1.0,0.21,San Juan,Puerto Rico,920.0,756.0,,80000
for_sale,3.0,2.0,0.02,Caguas,Puerto Rico,725.0,1048.0,,110000
for_sale,,,2.29,Catano,Puerto Rico,962.0,,,1500000
for_sale,,,0.11,Moca,Puerto Rico,676.0,,,38000
for_sale,3.0,3.0,0.36,Barranquitas,Puerto Rico,794.0,1015.0,,145000
for_sale,2.0,2.0,0.02,Carolina,Puerto Rico,979.0,1190.0,,420000
for_sale,3.0,1.0,0.15,Corozal,Puerto Rico,783.0,934.0,,88000
for_sale,4.0,5.0,0.46,Saint John,Virgin Islands,830.0,7100.0,,3690000
for_sale,3.0,1.0,0.08,Toa Baja,Puerto Rico,949.0,1000.0,,64000
for_sale,,,0.52,Rincon,Puerto Rico,677.0,,,208799
for_sale,3.0,2.0,0.09,Bayamon,Puerto Rico,957.0,1053.0,,117000
for_sale,10.0,10.0,0.48,Las Piedras,Puerto Rico,771.0,4233.0,,205000
for_sale,3.0,3.0,0.19,Arecibo,Puerto Rico,612.0,2872.0,,279000
for_sale,,,81.0,Christiansted,Virgin Islands,820.0,,,11900000
for_sale,3.0,1.0,0.04,Ponce,Puerto Rico,716.0,1025.0,,65000
for_sale,6.0,4.0,0.1,Mayaguez,Puerto Rico,680.0,2130.0,,143000
for_sale,3.0,2.0,0.03,Toa Baja,Puerto Rico,949.0,1250.0,,115000
for_sale,,,0.15,Florida,Puerto Rico,650.0,,,15900
for_sale,5.0,5.0,0.27,Guaynabo,Puerto Rico,966.0,3160.0,,849000
for_sale,,,0.45,Saint John,Virgin Islands,830.0,,,425000
for_sale,4.0,2.0,2.91,Utuado,Puerto Rico,641.0,1000.0,,198500
for_sale,3.0,2.0,0.08,Toa Baja,Puerto Rico,949.0,1260.0,,72000
for_sale,,,18.5,Hatillo,Puerto Rico,659.0,,,14000000
for_sale,,,8.6,Christiansted,Virgin Islands,820.0,,,599000
for_sale,3.0,1.0,0.08,Bayamon,Puerto Rico,959.0,900.0,,113000
for_sale,,,0.7,Saint Thomas,Virgin Islands,802.0,,,139500
for_sale,3.0,3.0,0.49,Guaynabo,Puerto Rico,965.0,2372.0,,161000
for_sale,3.0,2.0,,Mayaguez,Puerto Rico,682.0,1000.0,,90000
for_sale,2.0,1.0,,San Juan,Puerto Rico,920.0,806.0,,109000
for_sale,3.0,3.0,0.3,Toa Alta,Puerto Rico,953.0,2400.0,,270000
for_sale,3.0,2.0,,Carolina,Puerto Rico,985.0,3464.0,,399000
for_sale,3.0,2.0,0.19,Isabela,Puerto Rico,662.0,1800.0,,195000
for_sale,3.0,3.0,,San Juan,Puerto Rico,907.0,2900.0,,1050000
for_sale,3.0,1.0,0.1,Vieques,Puerto Rico,765.0,914.0,,195000
for_sale,2.0,1.0,,Guaynabo,Puerto Rico,921.0,1000.0,,175000
for_sale,3.0,2.0,,Bayamon,Puerto Rico,961.0,1129.0,,95000
for_sale,3.0,1.0,0.06,Caguas,Puerto Rico,727.0,850.0,,150000
for_sale,4.0,3.0,2.64,Hatillo,Puerto Rico,659.0,1578.0,,120000
for_sale,,,0.2,Dorado,Puerto Rico,646.0,,,879000
for_sale,2.0,1.0,0.07,San Juan,Puerto Rico,968.0,1000.0,,225000
for_sale,3.0,2.0,0.11,San Juan,Puerto Rico,926.0,2500.0,,545000
for_sale,3.0,3.0,3.54,Naguabo,Puerto Rico,,2130.0,,325000
for_sale,4.0,2.0,0.04,San Juan,Puerto Rico,915.0,1357.0,,96000
for_sale,2.0,1.0,0.12,Cayey,Puerto Rico,736.0,600.0,,63900
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,969.0,1900.0,,335000
for_sale,3.0,1.0,,San Juan,Puerto Rico,927.0,906.0,,115000
for_sale,4.0,1.0,0.11,Ponce,Puerto Rico,731.0,1562.0,,121500
for_sale,3.0,4.0,,San Juan,Puerto Rico,907.0,3022.0,,3750000
for_sale,,,135.0,Utuado,Puerto Rico,641.0,,,550000
for_sale,4.0,4.0,,Christiansted,Virgin Islands,820.0,3240.0,,1690000
for_sale,3.0,2.0,0.13,Naranjito,Puerto Rico,719.0,981.0,,62000
for_sale,3.0,2.0,,Carolina,Puerto Rico,987.0,2061.0,,160000
for_sale,3.0,1.0,,Bayamon,Puerto Rico,956.0,1027.0,,116000
for_sale,5.0,4.0,0.26,Vega Alta,Puerto Rico,692.0,2817.0,,600000
for_sale,3.0,2.0,,San Juan,Puerto Rico,926.0,997.0,,99000
for_sale,5.0,2.0,0.08,Carolina,Puerto Rico,987.0,1700.0,,101000
for_sale,1.0,1.0,,San Juan,Puerto Rico,917.0,527.0,,105000
for_sale,6.0,3.0,2.54,Cidra,Puerto Rico,739.0,3442.0,,390000
for_sale,4.0,2.0,0.1,Ponce,Puerto Rico,731.0,1800.0,,145000
for_sale,4.0,5.0,0.21,Dorado,Puerto Rico,646.0,5000.0,,2849000
for_sale,,,0.4,Aguadilla,Puerto Rico,603.0,,,75000
for_sale,5.0,2.0,0.32,Mayaguez,Puerto Rico,680.0,1500.0,,55000
for_sale,3.0,1.0,,Bayamon,Puerto Rico,956.0,1027.0,,116000
for_sale,3.0,2.0,0.22,Aibonito,Puerto Rico,705.0,800.0,,120000
for_sale,,,0.2,Camuy,Puerto Rico,661.0,,,54900
for_sale,3.0,1.0,0.09,Vega Baja,Puerto Rico,693.0,1000.0,,75200
for_sale,4.0,2.0,1.25,Frederiksted,Virgin Islands,840.0,49658.0,,499000
for_sale,,,0.26,Aguadilla,Puerto Rico,603.0,,,44995
for_sale,3.0,2.0,3.6,Cidra,Puerto Rico,639.0,2364.0,,225000
for_sale,5.0,2.0,0.12,Utuado,Puerto Rico,641.0,1620.0,,79000
for_sale,5.0,3.0,0.23,Guanica,Puerto Rico,653.0,4046.0,,900000
for_sale,,,0.23,Christiansted,Virgin Islands,820.0,,,195000
for_sale,,,0.67,San Sebastian,Puerto Rico,685.0,,,50000
for_sale,6.0,4.0,0.2,Naranjito,Puerto Rico,719.0,1880.0,,172000
for_sale,3.0,1.0,0.17,Juana Diaz,Puerto Rico,715.0,1080.0,,125000
for_sale,3.0,2.0,0.09,Mayaguez,Puerto Rico,680.0,1760.0,,115000
for_sale,4.0,6.0,0.14,Guaynabo,Puerto Rico,966.0,3400.0,,850000
for_sale,6.0,3.0,0.25,Anasco,Puerto Rico,610.0,1230.0,,140000
for_sale,5.0,5.0,0.13,Guaynabo,Puerto Rico,969.0,3240.0,,550000
for_sale,,,2.01,Christiansted,Virgin Islands,820.0,,,129000
for_sale,3.0,2.0,0.04,Bayamon,Puerto Rico,956.0,1156.0,,110000
for_sale,,,1.46,Comerio,Puerto Rico,782.0,,,69000
for_sale,3.0,2.0,,Carolina,Puerto Rico,987.0,1320.0,,120000
for_sale,6.0,2.0,0.11,Bayamon,Puerto Rico,957.0,2100.0,,190000
for_sale,4.0,3.0,0.3,Ponce,Puerto Rico,730.0,3000.0,,425000
for_sale,3.0,2.0,0.13,Carolina,Puerto Rico,979.0,2500.0,,649000
for_sale,5.0,4.0,1.4,Bayamon,Puerto Rico,956.0,4956.0,,1200000
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,966.0,865.0,,119900
for_sale,5.0,2.0,0.23,Humacao,Puerto Rico,791.0,1250.0,,105000
for_sale,,,150.0,Gurabo,Puerto Rico,778.0,,,2850000
for_sale,,,1.04,Christiansted,Virgin Islands,820.0,,,165000
for_sale,3.0,2.0,,Ponce,Puerto Rico,716.0,1235.0,,145000
for_sale,4.0,2.0,0.08,Guayama,Puerto Rico,784.0,1050.0,,106000
for_sale,6.0,3.0,0.07,San Juan,Puerto Rico,920.0,1841.0,,95000
for_sale,3.0,2.0,0.09,Carolina,Puerto Rico,979.0,1071.0,,88000
for_sale,,,8.0,Christiansted,Virgin Islands,820.0,,,2000000
for_sale,4.0,2.0,0.12,Guaynabo,Puerto Rico,969.0,1824.0,,525000
for_sale,3.0,3.0,0.28,Cidra,Puerto Rico,739.0,970.0,,130000
for_sale,3.0,2.0,0.5,Humacao,Puerto Rico,791.0,1201.0,,175000
for_sale,3.0,2.0,0.08,Carolina,Puerto Rico,979.0,777.0,,123900
for_sale,3.0,2.0,,San Juan,Puerto Rico,924.0,997.0,,122500
for_sale,4.0,3.0,0.14,Guaynabo,Puerto Rico,966.0,2132.0,,370000
for_sale,3.0,1.0,0.08,Carolina,Puerto Rico,985.0,1776.0,,130900
for_sale,5.0,3.0,0.16,Isabela,Puerto Rico,662.0,1886.0,,69900
for_sale,4.0,3.0,0.32,San Juan,Puerto Rico,926.0,2500.0,,224995
for_sale,,,6.2,Rincon,Puerto Rico,677.0,,,1700000
for_sale,3.0,2.0,,San Juan,Puerto Rico,926.0,1090.0,,111700
for_sale,3.0,1.0,,San Juan,Puerto Rico,969.0,,,82000
for_sale,4.0,3.0,,San Juan,Puerto Rico,907.0,3000.0,,2975000
for_sale,,,0.27,Manati,Puerto Rico,674.0,,,50000
for_sale,3.0,3.0,0.72,Ponce,Puerto Rico,731.0,2460.0,,225000
for_sale,7.0,5.0,0.51,Carolina,Puerto Rico,982.0,1777.0,,187000
for_sale,6.0,4.0,1.01,Christiansted,Virgin Islands,820.0,4800.0,,759000
for_sale,2.0,1.0,0.77,Guayama,Puerto Rico,974.0,1400.0,,199000
for_sale,3.0,2.0,,Vega Alta,Puerto Rico,646.0,1564.0,,495000
for_sale,2.0,1.0,,Carolina,Puerto Rico,979.0,1050.0,,379900
for_sale,4.0,2.0,0.23,Trujillo Alto,Puerto Rico,976.0,2068.0,,550000
for_sale,,,1.46,Comerio,Puerto Rico,782.0,,,69000
for_sale,2.0,1.0,1.45,Cidra,Puerto Rico,739.0,653.0,,69000
for_sale,4.0,1.0,0.4,Vieques,Puerto Rico,765.0,1300.0,,139000
for_sale,3.0,2.0,0.21,Hatillo,Puerto Rico,659.0,3515.0,,365000
for_sale,3.0,1.0,0.3,San Juan,Puerto Rico,924.0,900.0,,93300
for_sale,2.0,1.0,0.03,Manati,Puerto Rico,674.0,784.0,,58000
for_sale,2.0,2.0,,Loiza,Puerto Rico,745.0,1012.0,,175000
for_sale,3.0,2.0,,San Juan,Puerto Rico,924.0,1105.0,,94000
for_sale,4.0,4.0,0.15,Dorado,Puerto Rico,646.0,6703.0,,6495000
for_sale,3.0,2.0,,Bayamon,Puerto Rico,959.0,1650.0,,109000
for_sale,3.0,2.0,0.03,Loiza,Puerto Rico,772.0,1416.0,,225000
for_sale,,,1.21,San Juan,Puerto Rico,926.0,,,180000
for_sale,5.0,2.0,0.25,Morovis,Puerto Rico,687.0,1620.0,,60000
for_sale,4.0,2.0,0.12,Trujillo Alto,Puerto Rico,976.0,2500.0,,349000
for_sale,3.0,1.0,2.0,Coamo,Puerto Rico,769.0,1213.0,,189000
for_sale,3.0,2.0,,Cabo Rojo,Puerto Rico,623.0,1674.0,,186900
for_sale,3.0,3.0,0.72,Christiansted,Virgin Islands,820.0,,,500000
for_sale,4.0,3.0,0.08,Toa Baja,Puerto Rico,949.0,1576.0,,220000
for_sale,4.0,2.0,0.16,Guaynabo,Puerto Rico,927.0,2528.0,,550000
for_sale,3.0,2.0,,Trujillo Alto,Puerto Rico,976.0,1077.0,,108000
for_sale,3.0,2.0,,Bayamon,Puerto Rico,961.0,2164.0,,225000
for_sale,,,0.53,Saint John,Virgin Islands,830.0,,,250000
for_sale,3.0,2.0,0.23,Dorado,Puerto Rico,646.0,1298.0,,141000
for_sale,4.0,2.0,2.06,Utuado,Puerto Rico,641.0,1100.0,,219900
for_sale,,,1.51,Christiansted,Virgin Islands,820.0,,,150000
for_sale,7.0,6.0,0.11,Culebra,Puerto Rico,775.0,2116.0,,519000
for_sale,3.0,2.0,,Carolina,Puerto Rico,987.0,1200.0,,138000
for_sale,3.0,1.0,,Caguas,Puerto Rico,727.0,892.0,,78000
for_sale,,,1.33,Guaynabo,Puerto Rico,971.0,,,120000
for_sale,4.0,2.0,0.07,Toa Baja,Puerto Rico,949.0,2400.0,,420000
for_sale,3.0,1.0,0.27,Quebradillas,Puerto Rico,678.0,950.0,,105000
for_sale,5.0,7.0,0.53,San Juan,Puerto Rico,926.0,4111.0,,383500
for_sale,3.0,2.0,13.39,Isabela,Puerto Rico,662.0,1106.0,,89000
for_sale,4.0,5.0,0.51,Cabo Rojo,Puerto Rico,623.0,2422.0,,535000
for_sale,3.0,2.0,0.04,Ponce,Puerto Rico,731.0,980.0,,74000
for_sale,3.0,2.0,,Carolina,Puerto Rico,987.0,1200.0,,699000
for_sale,1.0,1.0,,Carolina,Puerto Rico,983.0,616.0,,57000
for_sale,,,0.22,Cabo Rojo,Puerto Rico,623.0,,,48500
for_sale,1.0,1.0,,Mayaguez,Puerto Rico,680.0,471.0,,82000
